Company,Status,PDF_Report_DE,PDF_REPORT_EN,ZIP_REPORT_DE,ZIP_REPORT_EN,ESG,ESG EN,Notes
FREQUENTIS AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/frequentis-ag-ATFREQUENT09/company-profile/?c11403%5Bfile%5D=_l1_8snJaYu0XE6cYCLHXw,https://www.wienerborse.at/aktien-prime-market/frequentis-ag-ATFREQUENT09/unternehmensprofil/?c2093%5Bfile%5D=T3efyYZbjgkh_eV9mufvtQ,,https://www.frequentis.com/sites/default/files/support/2024-04/Frequentis_Nichtfinanzieller-Bericht_2023.pdf,https://www.frequentis.com/sites/default/files/support/2024-04/Frequentis_Non-financial-Report_2023.pdf,Standalone
Immofinanz AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/immofinanz-ag-AT0000A21KS2/company-profile/?c11403%5Bfile%5D=zqqzx9QnVXX47Fb6HyrjCA,https://www.wienerborse.at/aktien-prime-market/immofinanz-ag-AT0000A21KS2/unternehmensprofil/?c2093%5Bfile%5D=Go5a0rNDRPoJCFO9wDPHRw,,https://graph.immofinanz.com/api/v1/attachment/660680f7e80bd17691bcd4b9/download/de,https://graph.immofinanz.com/api/v1/attachment/66068102e80bd17691bcd4bb/download/en,Standalone
Kapsch TrafficCom AG,Complete,https://www.wienerborse.at/aktien-prime-market/kapsch-trafficcom-ag-AT000KAPSCH9/unternehmensprofil/?c2093%5Bfile%5D=KUsZfu7vgW69jEBf-1Z46Q,https://www.wienerborse.at/en/stock-prime-market/kapsch-trafficcom-ag-AT000KAPSCH9/company-profile/?c11403%5Bfile%5D=D_Vm5sInnUCadydB08XFcw,https://www.wienerborse.at/aktien-prime-market/kapsch-trafficcom-ag-AT000KAPSCH9/unternehmensprofil/?c2093%5Bfile%5D=yJIFTlWjtM4Of-KIx3RcLQ,,https://www.kapsch.net/_Resources/Persistent/cfaf01fec6a78402f0b37ba2d50d31e810525bf6/KTC_Nichtfinanzieller_Bericht_2023-24.pdf,https://www.kapsch.net/_Resources/Persistent/d520b9e81680e3bcee7ce223937baeb1d8d478bc/KTC_Non-Financial_Report_2023-24.pdf,Standalone
Lenzing AG,Complete,https://www.wienerborse.at/aktien-prime-market/lenzing-ag-AT0000644505/unternehmensprofil/?c2093%5Bfile%5D=5BqtlB1i0o3N1a0bLgDO_Q,https://www.wienerborse.at/en/stock-prime-market/lenzing-ag-AT0000644505/company-profile/?c11403%5Bfile%5D=nHBsAPDuk2Bzmjf-LDTaoA,https://www.wienerborse.at/aktien-prime-market/lenzing-ag-AT0000644505/unternehmensprofil/?c2093%5Bfile%5D=w3aflafO3I2m2DrO-e5FSA,,https://reports.lenzing.com/geschaefts-und-nachhaltigkeitsbericht/2023/_assets/downloads/sus-sustainability-report-lenzing-gb23.pdf,https://reports.lenzing.com/annual-and-sustainability-report/2023/_assets/downloads/sus-sustainability-report-lenzing-ar23.pdf,Standalone
Mayr-Melnhof Karton AG,Complete,https://www.wienerborse.at/aktien-prime-market/mayr-melnhof-karton-ag-AT0000938204/unternehmensprofil/?c2093%5Bfile%5D=e8UZ78WzOx_9rmc_0x0_cQ,https://www.wienerborse.at/en/stock-prime-market/mayr-melnhof-karton-ag-AT0000938204/company-profile/?c11403%5Bfile%5D=ZlO5X7Q0goZ6FQHV9L38mg,https://www.wienerborse.at/aktien-prime-market/mayr-melnhof-karton-ag-AT0000938204/unternehmensprofil/?c2093%5Bfile%5D=OigwgwRrIf17ad2TxPzmFQ,,https://www.mm.group/fileadmin/user_upload/Media_Library_MMAG/Fuer_Investoren/Berichte/2023/MM_Konsolidierter_nichtfinanzieller_Bericht_2023.pdf,https://mm.group/wp-content/uploads/MM_Consolidated_non-financial_report_2023-1.pdf,Standalone
Oesterreichische Post AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/oesterreichische-post-ag-AT0000APOST4/company-profile/?c11403%5Bfile%5D=w-vv_OIcoBiPh2GEa6hnlw,https://www.wienerborse.at/aktien-prime-market/oesterreichische-post-ag-AT0000APOST4/unternehmensprofil/?c2093%5Bfile%5D=vBJfPiboU2odr8HV_JT88w,https://www.wienerborse.at/en/stock-prime-market/oesterreichische-post-ag-AT0000APOST4/company-profile/?c11403%5Bfile%5D=rHGCxpZGhcY7DaEePdqONA,https://assets.post.at/-/media/Dokumente/De/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Oesterreichische-Post-Nachhaltigkeitsbericht-2023.pdf?rev=1cbbcc4e-d554-4620-87c0-22d8730197fb&_ga=2.255130700.559713677.1720448626-1892400620.1720448626&_gl=1*89nfqk*_gcl_au*NjI4NDMzNTQuMTcyMDQ0ODYyNg..*_ga*MTg5MjQwMDYyMC4xNzIwNDQ4NjI2*_ga_M3WMVH224H*MTcyMDQ0ODYyNi4xLjEuMTcyMDQ0ODYyNy41OS4wLjA.,https://assets.post.at/-/media/Dokumente/En/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Austrian-Post-Sustainability-Report-2023.pdf,Standalone
OMV AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/omv-ag-AT0000743059/unternehmensprofil/?c2093%5Bfile%5D=kANXMqXVdjq5c8_vjAF-kg,https://www.wienerborse.at/en/stock-prime-market/omv-ag-AT0000743059/company-profile/?c11403%5Bfile%5D=bj7g1XRWUB_Pfda7EVepXA,https://www.omv.com/services/downloads/00/omv.com/1522251631115/omv-nachhaltigkeitsbericht-2023.pdf,https://www.omv.com/downloads/2024/11/e7bc7980-ebf2-881c-ca8c-db7897754d9c/omv-sustainability-report-2023.pdf,Standalone
Palfinger AG,Complete,https://www.wienerborse.at/aktien-prime-market/palfinger-ag-AT0000758305/unternehmensprofil/?c2093%5Bfile%5D=X50tv_BrRLsEtpQX5l3GKA,https://www.wienerborse.at/en/stock-prime-market/palfinger-ag-AT0000758305/company-profile/?c11403%5Bfile%5D=j0ODT4jiZtzk-xGcI3xJKA,https://www.wienerborse.at/aktien-prime-market/palfinger-ag-AT0000758305/unternehmensprofil/?c2093%5Bfile%5D=iFpblvKw1Sv9I23QUpVLMg,https://www.wienerborse.at/en/stock-prime-market/palfinger-ag-AT0000758305/company-profile/?c11403%5Bfile%5D=Yp19ujkTGHDmLyqU6CJeTA,https://assets.palfinger.com/importdata/corporate/sustainability/2024/Konsolidierte%20nichtfinanzielle%20Erkl%C3%A4rung%202023_DE.pdf,https://assets.palfinger.com/importdata/corporate/sustainability/2024/Konsolidierte%20nichtfinanzielle%20Erklärung%202023_EN.pdf,Standalone
PIERER Mobility AG,Complete,https://www.wienerborse.at/aktien-prime-market/pierer-mobility-ag-AT0000KTMI02/unternehmensprofil/?c2093%5Bfile%5D=rGgeAhLX0s6u13eiELvypw,https://www.wienerborse.at/en/stock-prime-market/pierer-mobility-ag-AT0000KTMI02/company-profile/?c11403%5Bfile%5D=wAb2ytvkQCkAFImIEUNz3w,https://www.wienerborse.at/aktien-prime-market/pierer-mobility-ag-AT0000KTMI02/unternehmensprofil/?c2093%5Bfile%5D=Uy5wjNXZefae91XtyKnJZg,https://www.wienerborse.at/en/stock-prime-market/pierer-mobility-ag-AT0000KTMI02/company-profile/?c11403%5Bfile%5D=QqjhlVOyCtALJFKNWR4uSg,https://reports.pierermobility.com/epaper/2024/epaper-nachhaltigkeit-de/index.html#4,https://www.pierermobility.com/api/assets/14991239,Standalone
POLYTEC Holding AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/polytec-holding-ag-AT0000A00XX9/company-profile/?c11403%5Bfile%5D=T4Cwy18-NoxQN4CniAlMww,https://www.wienerborse.at/aktien-prime-market/polytec-holding-ag-AT0000A00XX9/unternehmensprofil/?c2093%5Bfile%5D=cB-CNMDPQs7sHzhA6lu3FQ,,https://www.polytec-group.com/fileadmin/CORPORATE_WEBSITE/04_INVESTOR_RELATIONS/06_Publikationen/Berichte/Jahresfinanzberichte/2023/POLYTEC_GB23_de.pdf,https://www.polytec-group.com/fileadmin/CORPORATE_WEBSITE/04_INVESTOR_RELATIONS/06_Publikationen/Berichte/Jahresfinanzberichte/2023/POLYTEC_GB23_en.pdf,Integrated Report
